vintage,state_fips,soc_code,employment,wage,bill
2024,01,43-9061,15810.0,32030.0,506394300.0
2024,01,43-9199,790.0,49850.0,39381500.0
2024,01,45-1011,580.0,63760.0,36980800.0
2024,01,45-2011,260.0,45280.0,11772800.0
2024,01,45-2021,50.0,41540.0,2077000.0
2024,01,45-2041,770.0,34280.0,26395600.0
2024,01,45-2091,280.0,33850.0,9478000.0
2024,01,45-2092,620.0,33360.0,20683200.0
2024,01,45-2093,1300.0,34990.0,45487000.0
2024,01,45-4021,50.0,58860.0,2943000.0
2024,01,45-4022,1950.0,50780.0,99021000.0
2024,01,45-4023,180.0,44920.0,8085600.0
2024,01,45-4029,70.0,40400.0,2828000.0
2024,01,47-1011,13810.0,69300.0,957033000.0
2024,01,47-2011,240.0,63290.0,15189600.0
2024,01,47-2021,380.0,49600.0,18848000.0
2024,01,47-2031,5700.0,48270.0,275139000.0
2024,01,47-2041,230.0,42060.0,9673800.0
2024,01,47-2042,130.0,45650.0,5934500.0
2024,01,47-2044,310.0,41670.0,12917700.0
2024,01,47-2051,2040.0,44740.0,91269600.0
2024,01,47-2061,17260.0,36600.0,631716000.0
2024,01,47-2071,740.0,43200.0,31968000.0
2024,01,47-2073,9640.0,47480.0,457707200.0
2024,01,47-2081,640.0,46440.0,29721600.0
2024,01,47-2111,9740.0,56340.0,548751600.0
2024,01,47-2121,440.0,48090.0,21159600.0
2024,01,47-2131,780.0,47410.0,36979800.0
2024,01,47-2132,50.0,54250.0,2712500.0
2024,01,47-2141,1750.0,45140.0,78995000.0
2024,01,47-2151,720.0,43940.0,31636800.0
2024,01,47-2152,7880.0,54720.0,431193600.0
2024,01,47-2171,240.0,57620.0,13828800.0
2024,01,47-2181,1010.0,47750.0,48227500.0
2024,01,47-2211,1630.0,48020.0,78272600.0
2024,01,47-2221,1160.0,53970.0,62605200.0
2024,01,47-3011,100.0,36800.0,3680000.0
2024,01,47-3012,400.0,35970.0,14388000.0
2024,01,47-3013,2220.0,36390.0,80785800.0
2024,01,47-3014,50.0,30960.0,1548000.0
2024,01,47-3015,770.0,38240.0,29444800.0
2024,01,47-3016,60.0,31970.0,1918200.0
2024,01,47-3019,110.0,34910.0,3840100.0
2024,01,47-4011,1110.0,63690.0,70695900.0
2024,01,47-4021,260.0,79070.0,20558200.0
