year,state,award_level,awards_unexposed,awards_exposed,share_exposed
2023,OR,3,2651.0,1226.0,0.31622388444673716
2023,OR,4,306.0,0.0,0.0
2023,OR,5,12014.0,8117.0,0.4032089811733148
2023,OR,6,963.0,441.0,0.3141025641025641
2023,OR,7,4278.0,2411.0,0.36044251756615336
2023,OR,8,85.0,17.0,0.16666666666666666
2023,OR,17,466.0,282.0,0.3770053475935829
2023,OR,18,1542.0,17.0,0.010904425914047467
2023,OR,19,9.0,0.0,0.0
2023,OR,20,492.0,215.0,0.3041018387553041
2023,OR,21,2787.0,1156.0,0.2931777834136444
2023,PA,2,7969.0,1014.0,0.11287988422575977
2023,PA,3,11698.0,3976.0,0.2536684955978053
2023,PA,4,1801.0,27.0,0.01477024070021882
2023,PA,5,46026.0,32510.0,0.41395029031272285
2023,PA,6,1914.0,1979.0,0.5083483174929361
2023,PA,7,23044.0,17226.0,0.4277626024335734
2023,PA,8,509.0,110.0,0.1777059773828756
2023,PA,17,1943.0,1460.0,0.42903320599471056
2023,PA,18,7743.0,13.0,0.0016761217122227953
2023,PA,19,38.0,0.0,0.0
2023,PA,20,937.0,1353.0,0.5908296943231441
2023,PA,21,4867.0,5227.0,0.5178323756687141
2023,PR,2,13046.0,1364.0,0.09465648854961832
2023,PR,3,3975.0,969.0,0.19599514563106796
2023,PR,4,398.0,58.0,0.12719298245614036
2023,PR,5,10000.0,5619.0,0.35975414559190727
2023,PR,6,179.0,58.0,0.24472573839662448
2023,PR,7,3112.0,1737.0,0.358218189317385
2023,PR,8,58.0,38.0,0.3958333333333333
2023,PR,17,321.0,126.0,0.28187919463087246
2023,PR,18,894.0,0.0,0.0
2023,PR,19,13.0,29.0,0.6904761904761905
2023,PR,20,149.0,22.0,0.1286549707602339
2023,PR,21,1562.0,128.0,0.0757396449704142
2023,PW,3,38.0,20.0,0.3448275862068966
2023,PW,21,0.0,0.0,
2023,RI,2,831.0,59.0,0.06629213483146068
2023,RI,3,1326.0,262.0,0.16498740554156172
2023,RI,4,9.0,0.0,0.0
2023,RI,5,6292.0,4740.0,0.42965917331399567
2023,RI,6,151.0,131.0,0.4645390070921986
2023,RI,7,1768.0,1696.0,0.4896073903002309
2023,RI,8,37.0,9.0,0.1956521739130435
2023,RI,17,177.0,200.0,0.5305039787798409
2023,RI,18,456.0,0.0,0.0
2023,RI,19,31.0,0.0,0.0
2023,RI,20,152.0,0.0,0.0
2023,RI,21,964.0,127.0,0.11640696608615948
2023,SC,2,2590.0,77.0,0.028871391076115485
2023,SC,3,4294.0,1428.0,0.2495630898287312
2023,SC,4,0.0,0.0,
2023,SC,5,16708.0,8990.0,0.34983267180325317
2023,SC,6,242.0,324.0,0.5724381625441696
2023,SC,7,4589.0,2920.0,0.3888666933013717
2023,SC,8,228.0,62.0,0.21379310344827587
2023,SC,17,868.0,284.0,0.2465277777777778
2023,SC,18,1182.0,0.0,0.0
2023,SC,19,0.0,0.0,
2023,SC,20,523.0,0.0,0.0
2023,SC,21,6221.0,1284.0,0.17108594270486344
2023,SD,2,815.0,100.0,0.1092896174863388
2023,SD,3,1523.0,586.0,0.2778568041725936
2023,SD,4,32.0,0.0,0.0
2023,SD,5,3724.0,1609.0,0.30170635664729045
2023,SD,6,74.0,40.0,0.3508771929824561
2023,SD,7,1154.0,753.0,0.39486103828002095
2023,SD,8,14.0,0.0,0.0
2023,SD,17,125.0,53.0,0.29775280898876405
2023,SD,18,309.0,4.0,0.012779552715654952
2023,SD,19,0.0,0.0,
2023,SD,20,19.0,0.0,0.0
2023,SD,21,334.0,154.0,0.3155737704918033
2023,TN,2,6968.0,1096.0,0.1359126984126984
2023,TN,3,4597.0,1745.0,0.2751497950173447
2023,TN,4,1259.0,196.0,0.13470790378006872
2023,TN,5,21678.0,10770.0,0.3319156804733728
2023,TN,6,767.0,332.0,0.3020928116469518
2023,TN,7,7932.0,5101.0,0.39139108417095064
2023,TN,8,422.0,54.0,0.1134453781512605
2023,TN,17,1422.0,485.0,0.254326166754064
2023,TN,18,2939.0,3.0,0.0010197144799456153
2023,TN,19,51.0,0.0,0.0
2023,TN,20,749.0,0.0,0.0
2023,TN,21,5320.0,810.0,0.13213703099510604
2023,TX,2,29503.0,5051.0,0.14617699832146785
2023,TX,3,35901.0,11026.0,0.23496068361497646
2023,TX,4,827.0,30.0,0.03500583430571762
2023,TX,5,84850.0,46417.0,0.3536075327386167
2023,TX,6,2345.0,1550.0,0.3979460847240051
2023,TX,7,30642.0,30730.0,0.5007169393208629
2023,TX,8,328.0,166.0,0.3360323886639676
2023,TX,17,4010.0,2141.0,0.3480734839863437
2023,TX,18,7134.0,4.0,0.0005603810591202018
2023,TX,19,60.0,52.0,0.4642857142857143
2023,TX,20,1432.0,35.0,0.023858214042263123
2023,TX,21,27488.0,12288.0,0.3089300080450523
2023,UT,2,4463.0,859.0,0.1614054866591507
2023,UT,3,4841.0,1571.0,0.24500935745477231
2023,UT,4,75.0,0.0,0.0
2023,UT,5,26972.0,23297.0,0.4634466569854184
2023,UT,6,325.0,309.0,0.48738170347003157
2023,UT,7,13200.0,15020.0,0.5322466335931963
2023,UT,8,65.0,0.0,0.0
2023,UT,17,541.0,245.0,0.31170483460559795
2023,UT,18,734.0,0.0,0.0
2023,UT,19,0.0,0.0,
